hex_id,sm
49,0.365
50,0.131
55,0.139
67,NA
81,NA
752,0.149
799,0.383
822,1.032
823,0.256
824,2.232
843,0.559
844,0.07
845,0.014
846,2.172
864,0.26
865,0.22
866,0.184
884,0.074
885,0.032
886,NA
887,0.094
905,0.006
906,0.03
907,NA
924,0.186
925,0.42
926,0.03
927,NA
944,0.005
945,0.079
946,0.021
963,0.212
964,0.082
965,0.053
966,0.719
982,0.153
983,0.71
984,1.449
1001,NA
1002,0.82
1003,0.571
1004,1.188
1021,0.407
1022,1.459
1023,2.98
1040,1.039
1041,0.857
1042,NA
1043,1.83
1059,1.216
1060,0.39
1061,0.382
1077,0.181
1078,0.529
1079,0.098
1080,1.583
1097,0.148
1098,0.862
1099,0.931
1115,0.049
1116,0.38
1117,0.638
1118,2.502
1134,NA
1135,0.11
1136,0.866
1152,0.314
1153,NA
1154,NA
1155,0.101
1171,0.066
1172,0.026
1173,0.026
1189,0.188
1190,NA
1191,NA
1192,0.205
1208,0.428
1209,NA
1210,0.017
1227,NA
1228,NA
1229,NA
1230,0.051
1246,NA
1247,NA
1262,NA
1263,NA
1264,NA
1279,NA
1291,NA
331,NA
372,NA
455,NA
497,NA
519,NA
543,NA
567,0.066
592,NA
593,NA
617,NA
642,NA
666,NA
691,NA
692,NA
717,NA
718,0.046
719,0.133
720,0.012
721,0.559
722,0.493
723,0.106
724,0.015
742,0.529
743,NA
744,0.269
745,0.012
746,0.257
747,0.925
748,NA
749,0.102
766,NA
767,0.033
768,0.457
769,0.245
770,0.175
771,0.869
772,0.025
773,0.046
790,NA
791,0.36
792,0.033
793,0.813
794,1.227
795,NA
796,0.089
813,NA
814,0.176
815,0.094
816,0.522
817,0.54
818,0.06
835,NA
836,0.089
837,0.145
838,0.736
839,NA
840,1.586
856,0.332
857,NA
858,NA
859,0.453
860,0.359
876,NA
877,0.017
878,NA
879,NA
880,0.245
881,1.93
897,NA
898,NA
899,NA
900,NA
901,0.928
917,0.37
918,0.824
919,NA
920,0.071
921,0.456
725,NA
726,NA
727,0.321
750,NA
751,0.018
774,0.224
775,0.57
776,0.632
797,0.78
798,0.855
819,1.345
820,1.522
821,0.844
841,0.139
842,0.641
861,0.594
862,0.039
863,0.162
882,0.148
883,NA
902,0.576
903,0.108
904,0.19
922,0.285
923,0.448
941,0.229
942,0.485
943,0.332
961,0.368
962,0.235
980,1.404
981,0.168
999,1.032
1000,0.415
1019,2.573
1020,1.493
1038,1.154
1039,1.395
1057,2.047
1058,0.502
1075,0.791
1076,1.831
1095,1.149
1096,0.671
1113,0.42
1114,0.78
1132,0.068
1133,0.505
1150,0.02
1151,0.142
1169,0.044
1170,0.358
1187,0.1
1188,NA
1206,0.06
1207,NA
1225,NA
1226,NA
1244,NA
1245,NA
1260,NA
1261,NA
1277,NA
1278,NA
1290,NA
1310,NA
