hex_id,soft_wheat_area_km2,hard_wheat_area_km2,corn_grain_area_km2,corn_silage_area_km2,barley_area_km2,rapeseed_area_km2,sunflower_area_km2,sugarbeet_area_km2,vineyards_area_km2
713,161.78754,0.114,4.43,22.487,24.031,28.241,NA,40.099,NA
714,101.57987,0.075,3.911,18.144,16.929,11.046,NA,27.314,NA
715,88.57294,0.082,17.302,26.234,10.022,1.63,NA,10.206,NA
716,0.70909,NA,0.093,NA,0.251,NA,NA,0.212,NA
737,127.98035,0.035,17.058,5.244,25.054,24.219,0.043,45.676,NA
738,158.11991,NA,4.007,3.813,14.319,20.637,NA,59.444,NA
739,144.15246,0.02,4.422,11.88,15.295,12.308,NA,49.499,NA
740,123.11336,0.174,11.402,13.368,12.041,11.273,NA,20.24,NA
741,4.5221,0.066,0.529,0.265,0.627,0.014,NA,1.589,NA
761,51.86914,NA,5.644,1,12.096,8.233,NA,28.315,NA
762,163.73527,0.048,6.253,3.285,8.572,15.596,NA,57.247,NA
763,177.35681,0.027,3.652,5.944999999999999,12.702000000000002,13.079,NA,58.928,NA
764,84.1057,0.527,7.311,3.907,7.115,5.563,NA,24.682,NA
765,8.43372,0.407,1.462,5.139,0.783,0.08,NA,1.32,NA
786,78.65886,NA,11.304,7.066000000000001,21.27,25.481,NA,28.199,NA
787,170.69351999999998,0.02,6.981,2.202,14.056,26.207,0.002,75.125,NA
788,139.93892,0.717,9.397,5.356,12.162,8.895,0.009,44.283,NA
789,58.5706,0.131,7.749,13.099,4.975,0.997,NA,12.461,NA
808,111.88484,NA,4.678,1.4440000000000002,27.579,23.091,NA,60.374,NA
809,151.56645,NA,8.539,1.579,14.217,36.463,NA,58.075,NA
810,157.90655999999998,0.095,7.965,7.673,17.744999999999997,30.51,NA,60.811,NA
811,71.6754,0.045,15.135000000000002,25.1,12.562,2.207,NA,12.884,NA
812,4.13173,NA,0.662,2.61,0.076,NA,NA,0.302,NA
831,58.09075,0.068,9.882,2.186,22.903,15.951,0.109,19.321,NA
832,177.62209,0.014,4.5729999999999995,3.428,16.319000000000003,46.702,NA,87.807,NA
833,130.17517,0.083,11.581,10.475,17.543,18.683,NA,33.787,NA
834,6.1504200000000004,NA,0.678,1.601,0.222,0.001,NA,1.667,NA
852,101.92329,NA,5.575,1.586,38.499,30.825,0,42.725,0.012
853,163.89226,0.097,12.9,1.192,30.963,45.605,NA,89.157,NA
854,108.65247,0.113,4.888,36.323,17.188,18.622,NA,30.886,0.001
854,108.65247,0.185,4.888,36.323,17.188,18.622,NA,30.886,0.001
855,19.97158,0.068,5.466,12.112,2.868,0.866,NA,2.492,NA
873,84.66786,0.137,11.269,0.792,37.174,23.461,0.25,30.775,NA
874,109.01439,NA,4.525,24.527,16.113,33.599,NA,48.485,NA
875,63.73963,0.034,6.629,19.28,9.597,10.208,NA,15.158,NA
892,29.83459,NA,11.964,0.599,21.771,15.438,NA,1.84,3.152
893,92.62154,0.258,9.84,0.19,65.337,31.665,0.491,35.667,1.837
894,141.1071,0.035,20.796,6.498,28.988,54.408,NA,51.664,NA
895,20.420440000000003,NA,0.7919999999999999,47.281,3.885,1.362,NA,0.698,NA
896,0.76235,NA,0.027,0.145,0.19,NA,NA,0.228,NA
912,103.00957,0.228,3.824,0.315,67.378,41.215,0.932,51.303,2.56
913,55.07419,NA,4.575,0.073,38.562,19.666,0.154,23.56,4.755
914,130.57209,0.149,16.248,0.648,52.473,39.828,0.127,47.396,NA
915,45.78551,NA,6.712,28.681,11.268,16.034,NA,4.27,NA
916,48.33778,0.17,1.179,32.12,9.257,4.513,NA,7.921,NA
932,92.29471,0.13,18.35,0.179,46.833,31.45,0.53,48.436,3.422
933,121.50224,0.356,1.993,NA,81.207,29.122,0.153,79.373,0.738
933,121.50224,0.036,1.993,NA,81.207,29.122,0.153,79.373,0.738
934,71.23525000000001,NA,8.525,17.43,20.489,30.596,NA,10.647,NA
935,5.18992,0.414,0.449,7.963,1.262,0.871,NA,0.255,NA
951,109.53414,0.079,2.158,NA,76.036,47.902,0.718,62.973,0.04
952,97.38685,NA,0.946,0.074,62.078,35.931000000000004,0.428,62.922,0.147
953,111.36885,0.071,33.44,6.037,48.298,34.185,0.767,21.968,NA
954,24.05256,0.075,2.403,9.534,7.549,10.988,NA,0.249,NA
955,0.98946,NA,NA,0.399,0.029,NA,NA,NA,NA
68,4.57165,0.409,0.028,2.131,1.007,NA,NA,NA,NA
69,9.11937,0.029,1.325,7.208,0.91,1.15,0.819,NA,0.005
74,0.017,NA,2.021,1.16,0.023,NA,NA,NA,NA
75,0.79588,NA,NA,0.664,0.159,0.004,NA,NA,NA
