hex_id,year,month,mean_temperature_celsius
1345,2007,1,9.6614679252308715
645,2007,1,5.9917628007242705
671,2007,1,5.119532582159762
53,2007,1,7.834176246433453
662,2007,1,7.439247637239128
277,2007,1,7.413409660552554
483,2007,1,6.267347861438881
696,2007,1,4.9297691880129015
442,2007,1,6.261648294193883
689,2007,1,7.78596224682826
575,2007,1,5.086641190676675
1059,2007,1,6.652490389399257
556,2007,1,7.393637397263642
716,2007,1,8.837792968750023
1195,2007,1,5.343015095571733
887,2007,1,5.572191738759417
195,2007,1,9.698410753783593
419,2007,1,6.967940323997715
548,2007,1,6.303833025375349
63,2007,1,9.07701325533967
1153,2007,1,3.9448716873795338
618,2007,1,5.628661044981651
921,2007,1,3.1987838981206673
82,2007,1,10.317809935147446
1,2007,1,11.158786272132543
948,2007,1,5.890397360190103
